database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,database_id,scientificName,decimalLatitude,decimalLongitude,country,locality,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,county,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,country,locality,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,county,locality,identifiedBy,coordinatePrecision,recordedBy
AT_EPIPHYTES_0,Tillandsia tenuifolia,-25.521863,-51.416667,E8802,2003.0,Brazil,PARANA,GUARAPUAVA,Rio Sao Jeronimo,Forest fragment,BIEN_0,Solanum paniculatum,-7.135306,-38.601472,786,2010-08-25,DRYFLOR_0,Miconia minutiflora (Bonpl.) DC.,-20.844999313354,-44.91609954834,Brazil,"Santo Antônio do Amparo, floresta semidecidual",GBIF_0,Iryanthera sagotiana Warb.,-10.8339,-52.8731,1228373235,PRESERVED_SPECIMEN,,,,,nan,nan,,ICMBIO_0,Chamaecrista incana (Vogel) H.S.Irwin & Barneby,-25.3830556,-51.5111111,RB01034852,10/12/2013,Brasil,Paraná,Guarapuava,"Rodovia BR-277, Campo em frente a concessionária Valtra-Shark.",IDIGBIO_0,Arthrocardia gardineri,nan,nan,3db83402-7892-4ede-b87e-bd6f18941f03,PreservedSpecimen,,Brasil,Espírito Santo,,,,nan,nan,"Kanagawa, AI",NEOTROPTREE_0,Amaioua guianensis,-8.72444444444444,-35.1752777777778,AtlPE022,Brasil,"Tamandaré, Saltinho, floresta pluvial",SIBBR_0,Dryopteris,nan,nan,163ea702-1a6e-473c-ad89-4948fc2758fd,PreservedSpecimen,1930.0,,,,C; Chr,nan,SPECIESLINK_0,Randia armata,-19.696944,-39.931944,46966.0,S,nan,Brasil,Espírito Santo,nan,"Reserva de Comboios, próximo à reserva indígena. Ponto de amostragem 8.",nan,nan,"Firmino, A.D.; Valadares, R.T."
AT_EPIPHYTES_1,Peperomia obtusifolia,-14.65972,-39.14972,635992,2015.0,Brazil,BAHIA,ILHEUS,,Coordinates given in the herbarium record,BIEN_1,Tetrapterys crispa,-0.95,-49.8,1758,1987-11-04,DRYFLOR_1,Zanthoxylum rhoifolium Lam.,-8.1581001281738,-35.753898620605,Brazil,"Bezerros, floresta semidecidual de brejo",GBIF_1,Callisia filiformis (M.Martens & Galeotti) D.R.Hunt,nan,nan,1978411156,PRESERVED_SPECIMEN,2007-03-30T00:00:00Z,Bahia,Reserva Legal de Rodelas,"Barreto, R.",nan,nan,"Oliveira, M.; Cavalcanti, A. & Pessoa, L.",ICMBIO_1,Tridax procumbens L.,-12.2630556,-38.0416666,RB01357838,09/03/2016,Brasil,Bahia,Itanagra,Conglomerado BA__E-1-1-HE,IDIGBIO_1,Sida galheirensis Ulbr.,nan,nan,bfeb6da3-2676-49df-9cc0-63bc9b439b98,PreservedSpecimen,18/04/1971,Brasil,Pernambuco,,Arredores da cidade.,M.G. Bovini,nan,nan,Academia Brasileira de Ciências,NEOTROPTREE_1,Matayba intermedia,-22.9294444444444,-42.9794444444444,AtlRJ033,Brasil,"Niterói, Serra da Tiririca, floresta pluvial",SIBBR_1,Lamiaceae,nan,nan,c6723db8-f11e-4b3d-80b0-9b25312ef606,PreservedSpecimen,nan,Brazil,,,,nan,SPECIESLINK_1,Myrcia decorticans,0.0,0.0,127977.0,PreservedSpecimen,nan,Brasil,Alagoas,nan,Usina Corurioe - Fazenda Capiatã A - Bloco Goiabeia.,nan,nan,"Machado, M.A.B.L."
AT_EPIPHYTES_2,Tillandsia recurvata,-21.746667,-43.354722,E1617,2016.0,Brazil,MATO GROSSO DO SUL,JUIZ DE FORA,Praca Mariano Procopio,50,BIEN_2,Clusia microstemon,0.283333,-68.466667,2075,,DRYFLOR_2,Ocotea velutina (Nees) Rohwer,-21.132499694824,-44.709400177002,Brazil,"Ibituruna, floresta semidecidual",GBIF_2,Margaritopsis cephalantha (Müll.Arg.) C.M.Taylor,nan,nan,1702828595,PRESERVED_SPECIMEN,1975-01-17T00:00:00Z,Espírito Santo,"Mun. de Linhares, Reserva Florestal da Companhia Vale do Rio Doce, S.A. Mata de tabuleiro, so longo da picada 162",,nan,nan,A. L. Peixoto & O. L. Peixoto,ICMBIO_2,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,-20.9386111,-41.5444444,RB00821048,08/08/2013,Brasil,Espírito Santo,Mimoso do Sul,"Córrego do Jardim. Floresta de Pseudobombax, Nyctaginaceae, bromélias e aráceas, com tapete de musgos, sobre afloramento rochoso.",IDIGBIO_2,Holocheilus brasiliensis (L.) Cabrera,nan,nan,e600439c-01d6-4aa3-8875-92e2dfa01a0f,preservedspecimen,1901-11-12,Brazil,Rio Grande do Sul,,Plantae Itineris Regnelliani IIdi Brasiliae civit. Rio Grande do Sul: Povo Novo pr. Pelotas,,nan,nan,Gust. O. A:n Malme,NEOTROPTREE_2,Pagamea coriacea,-0.145833333333333,-66.9733333333333,AmzAM103,Brasil,"Itacoatiara-Mirim, nanofloresta de areias brancas",SIBBR_2,Erythrina,nan,nan,35332ca6-417d-40fe-825b-19c3071e9b22,PreservedSpecimen,1989.0,Brazil,,"Chiapas. Mun. Tuxtla Gutierrez Em El Carmen, 13km al SW de Tuxtla Gtz.","Soto, J.C.",nan,SPECIESLINK_2,Senecio subarnicoides,0.0,0.0,3381603.0,PreservedSpecimen,nan,Brazil,Santa Catarina,nan,Serra do Quiriri (Mun. Campo Alegre),nan,nan,"J. M. Silva, O. S. Ribas, J. Cordeiro & E. L. Barbosa"
AT_EPIPHYTES_3,Vriesea flammea,-23.35,-44.858333,E0272,2011.0,Brazil,SAO PAULO,UBATUBA,Parque Estadual da Serra do Mar-Nucleo Picinguaba,Forest fragment,BIEN_3,,-9.272222,-64.482778,2756,2011-03-26,DRYFLOR_3,Sweetia fruticosa Spreng.,-18.089000701904,-45.182998657227,Brazil,"Três Marias, floresta decidual",GBIF_3,Erythroxylum cuspidifolium Mart.,-13.936944,-39.424444,1944976406,PRESERVED_SPECIMEN,2013-03-28T00:00:00Z,Bahia,"Fazenda Paineiras, BR 116, KM 390",Sem Informação,nan,nan,T. Araújo,ICMBIO_3,Oxalis psoraleoides ssp. insipida (A.St.-Hil.) Lourteig,-9.6783334,-36.9844444,RB00534750,14/11/2000,Brasil,Alagoas,Jaramataia,"Serra das Mãos, próximo à Vila Campestre e ao riacho Ribeira.",IDIGBIO_3,Solanum decompositiflorum,nan,nan,b1fb4bdc-e7e3-4266-8b7e-ebaf59dff76c,PreservedSpecimen,,Brasil,Distrito Federal,,"Fazenda Sucupira, mata próxima dos experimentos do. Mata de galeria. Relevo levemente inclinado. Solo com boa camada d eserrapilheira","Gouvêa, YF",nan,nan,"Santos, AA; Pereira, JB; Oliveira, RC; Alves, AF; Carvalho-Silva, M",NEOTROPTREE_3,Senna velutina,-13.405,-55.5744444444444,CerMT027,Brasil,"Lucas do Rio Verde, cerrado",SIBBR_3,Symplocos celastrinea,nan,nan,a4333dbe-a83c-409f-a536-bd7486a09915,PreservedSpecimen,2001.0,Brasil,,,"Aranha, J.L.M.",nan,SPECIESLINK_3,Baccharis polyphylla,-13.55,-41.95,2851678.0,PreservedSpecimen,nan,Brazil,Bahia,nan,Brazil: Estado da Bahia. Serra das Almas. Middle and upper N.E. slopes of the Pico das Almas ca. 25km. W.N.W. of the Vila do Rio de Contas,nan,nan,"R. M. Harley, S. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro"
AT_EPIPHYTES_4,Lankesterella ceracifolia,-28.1667,-49.4,17541,2009.0,Brazil,SANTA CATARINA,ORLEANS,Rio Minador,Municipality,BIEN_4,Machaerium fulvovenosum,-20.848889,-41.1125,1307,2008-10-10,DRYFLOR_4,Bauhinia cheilantha (Bong.) Steud.,-15.003100395203,-43.900299072266,Brazil,"Matias Cardoso, Cajueiro, caatinga arbórea",GBIF_4,Ocotea lanceolata Nees,-13.48333,-41.81667,439130715,PRESERVED_SPECIMEN,1977-02-24T00:00:00Z,Bahia,,,nan,nan,"Harley, R.M.|Santos, T.S.|Pinheiro, R.S.|Mayo, S.J.|Storr, R.M.",ICMBIO_4,Xyris mucujensis Kral & L.B.Sm.,-13.0,-41.4,RB00636898,25/07/1979,Brasil,Bahia,Mucugê,"3km ao S de Mucugê, na estrada para Jussiape.",IDIGBIO_4,Coussarea acrensis C.M. Taylor,-10.0666667,-67.5666667,7e4df881-f532-4818-8d26-37984e804c5d,PreservedSpecimen,,Brazil,Acre,,"Senador Guiomard; Fazenda Experimental Catauba, 27km from RIo Branco on road BR-364 to Porto Velho","C.M. Taylor, Paratype",nan,nan,Piero G. Delprete|M. Oliveira,NEOTROPTREE_4,Myrsine umbellata,-23.8686111111111,-53.8466666666667,AtlPR129,Brasil,"Altônia, floresta semidecídua",SIBBR_4,Polypodium hirsutissimum,nan,nan,a1998531-ab55-495b-bcd1-38aebbd8916c,PreservedSpecimen,1993.0,,,Ò_x0002_,"Kazmirczak, C",nan,SPECIESLINK_4,Undesignated undesignated,-15.26472,-40.57472,3395923.0,PreservedSpecimen,nan,Brazil,Bahia,nan,"""Itambé: 37.5 west of itapetinga on BR 415 to Itambé. Semi-deciduous \""vine\"" forst (Mata de Cipó) with arborescent cacti.""",nan,nan,Thomas
AT_EPIPHYTES_5,Vriesea psittacina,-15.133333,-38.333333,E32704,nan,Brazil,BAHIA,UNA,"Serra Javi. 9Km ao S Sao Jose -Km 550-; 5.5Km a E BR-101, p/ Faz. Cascavel.",Coordinates given in the herbarium record,BIEN_5,,-20.026667,-40.492222,3510,2007-11-30,DRYFLOR_5,Senna pendula (Willd.) H.S.Irwin & Barneby,-21.568899154663,-50.739700317383,Brazil,"Salmourão, floresta semidecidual",GBIF_5,Qualea cryptantha var. marginata (Miq.) Stafleu,nan,nan,1090419761,PRESERVED_SPECIMEN,1979-12-23T00:00:00Z,Bahia,"Velha estrada entre Andaraí e Mucugê via Igatú, a 2Km ao S de Igatú.",M. Lisboa,nan,nan,S. A. Mori,ICMBIO_5,Groenbladia,-15.733889,-47.928611,43135,31/05/2009,Brasil,DF,Brasilia,Parque Nacional De Brasília,IDIGBIO_5,Stenocline chionaea,nan,nan,30acef7a-5fe5-4092-9b0d-455ec24d02eb,PreservedSpecimen,,Brazil,Minas Gerais,,"Serra do Cipó Km 108-109, Rodovia, Cerro.",,nan,nan,"Lewinsohn, TM; Martins, RP",NEOTROPTREE_5,Compsoneura ulei,-8.13777777777778,-63.6194444444444,AmzRO032,Brasil,"Porto Velho, Calama, savana arborizada brejosa",SIBBR_5,Piptadenia gonoacantha,nan,nan,10d02587-02e0-4c85-9ba0-648447519d25,PreservedSpecimen,2004.0,,,"Reservatório de Miranda, Cerca de 20 km do centro de Uberlândia.",,nan,SPECIESLINK_5,Ocotea pulchella,0.0,0.0,nan,S,nan,Brasil,Rio Grande do Sul,nan,Limeira- São José da Porteirinha,nan,nan,"Alvarez, A.F."
AT_EPIPHYTES_6,Nidularium innocentii,-26.1833,-49.0333,20521,2009.0,Brazil,SANTA CATARINA,JOINVILLE,Serra Dona Francisca,Municipality,BIEN_6,Byrsonima sericea,-15.181944,-45.769722,3012,1997-12-05,DRYFLOR_6,Cecropia hololeuca Miq.,-17.83219909668,-40.280799865723,Brazil,"Nanuque, floresta semidecidual",GBIF_6,Mollinedia clavigera Tul.,nan,nan,1853941450,PRESERVED_SPECIMEN,2014-08-18T00:00:00Z,Paraná,Parque do Cinquentenário.,C.Miranda,nan,nan,C.Miranda,ICMBIO_6,Byrsonima crispa,-16.504,-39.255,604662,14/10/2009,Brasil,BA,,Parque Nacional Do Pau Brasil,IDIGBIO_6,Paspalum eucomum Nees ex Trin.,nan,nan,dba43752-a729-4d31-a9e2-59b9699a1bff,PreservedSpecimen,,Brazil,Minas Gerais,,"Serra do Cipó (110km Northeast of Bello Horizonte), Minas Gerais. Stony campo between Lagoa Santa",Morrone & Zuloaga,nan,nan,Agnes Chase,NEOTROPTREE_6,Cyathea corcovadensis,-23.8136111111111,-45.4675,AtlSP016,Brasil,"São Sebastião, floresta pluvial",SIBBR_6,Cnidoscolus vitifolius,-6965.0,-41678331.0,c465ad70-0931-4947-b89c-11ef98107957,PreservedSpecimen,2009.0,,,Água Mineral Manaíra,,nan,SPECIESLINK_6,Ocotea lobbii,0.0,0.0,15479.0,S,nan,Brasil,Espírito Santo,nan,Setiba.,nan,nan,"Fabris, L.C."
AT_EPIPHYTES_7,Acianthera serpentula,-25.5839,-49.6356,E23503,nan,Brazil,PARANA,BALSA NOVA,Base da Serra de Sao Luiz do Puruna,Coordinates given in the herbarium record,BIEN_7,Euphorbia appariciana,nan,nan,971,1996-07-05,DRYFLOR_7,Cordia glabrata (Mart.) A.DC.,-14.982199668884,-43.52140045166,Brazil,"Matias Cardoso, Gado Bravo, caatinga arbórea",GBIF_7,Acisanthera variabilis Triana,nan,nan,1089063026,PRESERVED_SPECIMEN,1997-05-21T00:00:00Z,Minas Gerais,Estrada de acesso à Fazenda Hotel Serra das Bicas.,,nan,nan,"Matsumoto, K; Faria, AD; Lopes, CA; Jannini, AW; Simões, AO; Singer, RB",ICMBIO_7,Paspalum multicaule Poir.,-12.9,-51.8666667,RB00525311,26/06/1968,Brasil,Mato Grosso,,"Base Camp of the Expedition, ca. 270 km N of Xavantina on the Xavantina - São Félix road.",IDIGBIO_7,,-9.566469,-36.422006,e1ed3ca5-6470-45e4-a760-bd7e09cca153,PreservedSpecimen,,Brasil,Alagoas,,RPPN Santa Fé.,,nan,nan,M.C.S.Mota,NEOTROPTREE_7,Myrciaria dubia,-3.28388888888889,-59.4844444444444,AmzAM223,Brasil,"Careiro da Várzea, Paraná do Autaz-Mirim, floresta inundável de água negra",SIBBR_7,Pontederiaceae,nan,nan,c0672dd8-a417-4e52-b350-82b083c2e2b2,PreservedSpecimen,nan,,,Province de Saint Paul,Saint-Hilaire,nan,SPECIESLINK_7,Aristolochia arcuata,0.0,0.0,88280.0,S,nan,Brasil,São Paulo,nan,,nan,nan,"Lopes, L.M.X."
AT_EPIPHYTES_8,Peperomia quadrifolia,-26.46,-49.41,E18657,nan,Brazil,SANTA CATARINA,CORUPA,Palmeiras II,Coordinates given in the herbarium record,BIEN_8,Cordia nodosa,-9.95,-57.1,2979,1985-09-30,DRYFLOR_8,Cynophalla flexuosa (L.) J.Presl,-22.783100128174,-53.530300140381,Brazil,"Anaurilândia, floresta semidecidual",GBIF_8,Croton nepetifolius Baill.,-8.507242,-37.355059,1302836168,HUMAN_OBSERVATION,,,catimbau,,nan,nan,,ICMBIO_8,Solanum megalochiton Mart.,-19.3513889,-40.5480555,RB00780705,19/04/2013,Brasil,Espírito Santo,Marilândia,"Localidade de Alto Liberdade. Pedra do Cruzeiro, Floresta alterada ao longo da escadaria para o topo do inselbergue.",IDIGBIO_8,Miconia minutiflora,nan,nan,bfe7a023-80a5-4f09-87b7-5119274dac2b,PreservedSpecimen,,Brasil,Minas Gerais,,"Estrada para Mata da Zilda, Estação Ambiental Galheiro","Romero, R",nan,nan,"Mendes, S",NEOTROPTREE_8,Alchornea triplinervia,-24.5705555555556,-48.6163888888889,AtlSP032,Brasil,"Iporanga, floresta pluvial",SIBBR_8,Gonolobus hatschbachii,nan,nan,619e3df7-1b27-4b26-a5f4-799691ce0286,PreservedSpecimen,1959.0,Brazil,,"Municipio Cerro Azul, Morro Grande, Da Mata da ecosta dos Morros",,nan,SPECIESLINK_8,Sematophyllum galipense,-13.279722,-41.903889,84295.0,PreservedSpecimen,nan,Brasil,Bahia,nan,Serra do Barbado. Catolés,nan,nan,"Bastos, C"
