database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,database_id,scientificName,decimalLatitude,decimalLongitude,country,locality,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,county,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,country,locality,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,county,locality,identifiedBy,coordinatePrecision,recordedBy
AT_EPIPHYTES_9,Peperomia circinnata,-23.7869,-54.2836,E16998,nan,Brazil,MATO GROSSO DO SUL,ELDORADO,,Coordinates given in the herbarium record,BIEN_9,Dorstenia turnerifolia,-15.158056,-39.528611,2724,,DRYFLOR_9,Manihot caerulescens Pohl,-10.185799598694,-40.259201049805,Brazil,"Jaguarari, floresta areno-rupícola",GBIF_9,Pontederia lanceolata Nutt.,nan,nan,1095416254,PRESERVED_SPECIMEN,,Santa Catarina,Encruzilhada,"Castellanos, A.",nan,nan,"Klein, R.",ICMBIO_9,Leiothrix curvifolia (Bong.) Ruhland,-18.9625,-43.7419444,RB00604869,24/11/2009,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José, Trilha da Senhorinha, caminho a Congonhas do Norte.",IDIGBIO_9,Peltophorum dubium (Spreng.) Taub.,nan,nan,a9533fe0-b92d-4375-9835-961ae798d4c4,PreservedSpecimen,2004-04-30,Brazil,Rio de Janeiro,Araruama,Morro das Canelas,,nan,nan,R. D. Ribeiro,NEOTROPTREE_9,Dahlstedtia muehlbergiana,-21.07,-47.4361111111111,AtlSP161,Brasil,"Gruta do Itambé, floresta semidecídua",SIBBR_9,Plantae,-23.213774,-46.361428,ad73d33b-4f47-445a-bc84-bcc8397552d6,HumanObservation,2013.0,,,,,nan,SPECIESLINK_9,Parthenium hysterophorus,-21.7944,-48.1756,20032.0,S,nan,Brasil,São Paulo,nan,,nan,nan,H.F. Leitão Filho & C. Aranha
AT_EPIPHYTES_10,Microgramma squamulosa,-25.666271,-49.269229,E7552,2017.0,Brazil,PARANA,FAZENDA RIO GRANDE,Fazenda Experimental Gralha Azul 2,Forest fragment,BIEN_10,Phoradendron crassifolium,-23.62028,-45.40972,104,1961-05-20,DRYFLOR_10,Vitex polygama Cham.,-14.285300254822,-44.111099243164,Brazil,"Juvenília, caatinga arbórea",GBIF_10,Dalechampia stipulacea Müll.Arg.,-23.0297,-46.9753,1090557438,PRESERVED_SPECIMEN,1994-11-23T00:00:00Z,São Paulo,,R.A. Pereira-Silva,nan,nan,S.L. Jung-Mendaçolli; C.A.F. Pinto-Maglio; P.R.P. Andrade & A.M.C. Silva,ICMBIO_10,Chrysophyllum inornatum Mart.,-27.3344444,-49.9422222,RB01138574,10/11/2008,Brasil,Santa Catarina,Pouso Redondo,Corruchel.,IDIGBIO_10,Crotalaria,-23.416667,-51.95,01bdd102-de56-4b29-9631-57dbf0eb4df4,PreservedSpecimen,,Brasil,Paraná,,"distrito de Iguatemi, Campus UEM, Fazenda Experime",,nan,nan,G.C.Mantovanelli; F.A.Rios,NEOTROPTREE_10,Copaifera coriacea,-10.1322222222222,-44.7119444444444,CerPI033,Brasil,"Parnaguá, cerradão mesotrófico",SIBBR_10,Serpocaulon latipes,nan,nan,3a156871-1899-4950-8727-1bc158082e36,PreservedSpecimen,1996.0,,Espírito Santo  es,"Reserva Florestal de Linhares, Estrada: Flamengo. Km 1,2.","Salino, A",nan,SPECIESLINK_10,Endlicheria paniculata,0.0,0.0,21981.0,S,nan,Brazil,Distrito Federal,nan,BR-251 após a cachoeirinha,nan,nan,"Heringer, EP; et al."
AT_EPIPHYTES_11,Vriesea gigantea,-29.6411,-50.4525,E0829,nan,Brazil,RIO GRANDE DO SUL,RIOZINHO,,Municipality,BIEN_11,Pagamea plicata,-10.605278,-46.285,3801,2007-09-21,DRYFLOR_11,Trichilia pallens C.DC.,-22.807500839233,-51.379199981689,Brazil,"Primeiro de Maio, floresta semidecidual",GBIF_11,Handroanthus albus (Cham.) Mattos,nan,nan,1316181641,PRESERVED_SPECIMEN,1978-07-05T00:00:00Z,São Paulo,Pedra Grande,"Semir, J",nan,nan,"Taroda, N",ICMBIO_11,Mimosa paludosa Benth.,-13.6,-41.8333333,RB00164077,27/03/1977,Brasil,Bahia,,"Between 2,5 and 5km S. of the Vila do Rio de Contas on side road to W. of the road to livramento, leading to the Rio Brumado.",IDIGBIO_11,Rudgea cornifolia (Kunth.) Standl.,nan,nan,87f72c1b-eefa-477c-9bc0-c90649f98f2a,preservedspecimen,1965-10-28,Brazil,Pará,,"Brazil. State of Pará. Road BR 22, Capanema to Maranhão. Banks of Rio Piria, north of Km. 90.",,nan,nan,G.T. Prance & T.D. Pennington,NEOTROPTREE_11,Miconia gratissima,-4.22111111111111,-63.1722222222222,AmzAM163,Brasil,"Coari, floresta pluvial de terra firme",SIBBR_11,Matayba elaeagnoides,-24.10056,-50.70694,587d1247-b4e8-4a13-b121-6717f7f86273,PreservedSpecimen,2011.0,,,H|_x0005_,"Bonaldi, R.A.",nan,SPECIESLINK_11,Jacaranda simplicifolia,-13.9584,-47.3578,748798.0,PreservedSpecimen,nan,Brazil,Goiás,nan,"Chapada dos Veadeiros, ca. 25 km by road N of Alto Paraíso",nan,nan,W. R. Anderson
AT_EPIPHYTES_12,Aechmea leptantha,-8.0022,-35.0183,E1518,nan,Brazil,PERNAMBUCO,SAO LOURENCO DA MATA,Sao Bento,Coordinates given in the herbarium record,BIEN_12,,-11.688333,-49.361111,3527,2012-01-01,DRYFLOR_12,Myrcia tomentosa (Aubl.) DC.,-11.218299865723,-45.402801513672,Brazil,"Formosa do Rio Preto, caatinga arbórea",GBIF_12,Daphnopsis sellowiana Taub.,nan,nan,1143421447,PRESERVED_SPECIMEN,2013-07-21T00:00:00Z,Paraná,,"Barboza, E",nan,nan,"Engels, M.E.",ICMBIO_12,Senegalia visco (Lorentz ex Griseb.) Seigler & Ebinger,-18.3055556,-64.1319445,RB01017117,13/08/2014,Bolívia,Santa Cruz,,~2km E of El Trigal on dirt track off road to Vallegrande.,IDIGBIO_12,Butia paraguayensis,nan,nan,f271405a-1354-4bdc-9f63-ef581824c9bc,PreservedSpecimen,,Brasil,São Paulo,,Fazenda Campininha.,,nan,nan,"Botânico, MP",NEOTROPTREE_12,Cabralea canjerana,-17.6558333333333,-46.3122222222222,CerMG068,Brasil,"João Pinheiro, floresta ripícola",SIBBR_12,Trichilia micrantha,nan,nan,a8cc67df-1c63-4830-9769-cb2ea5b6dbc6,PreservedSpecimen,1968.0,,,ìW,,nan,SPECIESLINK_12,Chamaesyce,-14.4525,-43.7533333,1195853.0,PreservedSpecimen,nan,Brazil,Bahia,nan,"Rod. para o Distr. de Cana Brava, 18 km S da sede municipal, 1.6 km do povoado de Serra de João Alves.",nan,nan,J. G. Jardim
AT_EPIPHYTES_13,Vriesea tijucana,-15.158634,-39.057151,359,2000.0,Brazil,BAHIA,UNA,Reserva Biologica de Una,20,BIEN_13,Galactia striata,-22.4947,-48.5581,1365,,DRYFLOR_13,Zanthoxylum riedelianum Engl.,-18.879400253296,-41.479698181152,Brazil,"São Geraldo do Baixio, floresta semidecidual",GBIF_13,Hillia parasitica Jacq.,-13.07,-41.37,912236353,PRESERVED_SPECIMEN,2002-02-15T00:00:00Z,,"Bahia, Mucage: Serra do Gobira. Mata do Grotao no alto do Gobira.",,nan,nan,"Harley, R. M. et al.",ICMBIO_13,Myrsine umbellata,-22.456917,-44.609611,909060,25/11/2014,Brasil,RJ,,Parque Nacional De Itatiaia,IDIGBIO_13,Mendoncia coccinea,nan,nan,154ea2f4-c94f-4316-8062-b6485507e317,PreservedSpecimen,,Brazil,Paraná,,"Ilha do Mel, Encantadas","Silva, S.M.",nan,nan,"Britez, R.M.",NEOTROPTREE_13,Solanum megalochiton,-14.835,-40.5547222222222,AtlBA099,Brasil,"Barra do Choça, floresta semidecídua",SIBBR_13,Sapium glandulosum,nan,nan,792bc66f-de36-4384-a449-717e084a55c6,PreservedSpecimen,1994.0,Brasil,,Socavão,V. Santos,nan,SPECIESLINK_13,Eriosema tacuaremboense,0.0,0.0,4144.0,PreservedSpecimen,nan,Brasil,Rio Grande do Sul,nan,,nan,nan,Flávio
AT_EPIPHYTES_14,Rhodospatha oblongata,-14.49,-39.1,E25916,nan,Brazil,BAHIA,URUCUCA,"Mun>. Urucuca, 9.4 KM. Serra do Conduru vertente E.",Coordinates given in the herbarium record,BIEN_14,Achyrocline alata,-20.448028,-52.906222,2258,2005-04-22,DRYFLOR_14,Handroanthus serratifolius (Vahl) S.O.Grose,-17.93390083313,-44.568298339844,Brazil,"Lassance, floresta ripícola",GBIF_14,Phyllanthus L.,nan,nan,1087021229,PRESERVED_SPECIMEN,1967-04-14T00:00:00Z,Amazonas,,,nan,nan,"Rodrigues, W. ; Coelho,N.",ICMBIO_14,Swartzia simplex var. continentalis Urb.,-20.2425,-42.0197223,RB00521071,10/12/2007,Brasil,Espírito Santo,Santa Leopoldina,"Cachoeira do Mochafongo, Sítio Mochafongo. Arbusto 5m, tronco castanho-escuro, beira da cachoeira, solo rochoso, local com alta incidência de sol.",IDIGBIO_14,Ocotea laxa (Nees) Mez,-25.4769,-48.8342,775655fa-be84-4db2-b9f1-ab1b93afed07,PreservedSpecimen,1971-01-19,Brazil,Paraná,Morretes,"Serra Marumbi, picada ao Olimpo",,30514.0,nan,G. G. Hatschbach,NEOTROPTREE_14,Machaerium acutifolium,-19.2183333333333,-49.1463888888889,CerMG240,Brasil,"Prata, cerrado",SIBBR_14,Desmodium leiocarpum,nan,nan,ebef8d85-72da-4c9a-8cea-dad5e23850fd,PreservedSpecimen,nan,Brazil,,"Occasional. Campo and gallery forest, Riberao Torto, near Sobradinho,",J. Grimes 90,nan,SPECIESLINK_14,Schrankia leptocarpa,0.0,0.0,448.0,PreservedSpecimen,nan,Brasil,Pernambuco,nan,,nan,nan,"Sarmento, A."
AT_EPIPHYTES_15,Anthurium gaudichaudianum,-29.342087,-49.68663,E0057,1992.0,Brazil,RIO GRANDE DO SUL,TORRES,Torres,Forest fragment,BIEN_15,Coccocypselum lanceolatum,-10.8339,-52.8731,3567,,DRYFLOR_15,Croton floribundus Spreng.,-22.500799179077,-46.642799377441,Brazil,"Lindóia, floresta semidecidual",GBIF_15,"Chresta pacourinoides (Mart. ex DC.) Loeuille, Siniscalchi & Pirani",-5.640583,-42.608306,1090954960,PRESERVED_SPECIMEN,2000-05-16T00:00:00Z,Piauí,Fazenda Saquinho,B. Leonille,nan,nan,R. Barros; R.R. Farias,ICMBIO_15,Tephrosia,-9.8497222,-52.4047222,RB00622100,11/03/2011,Brasil,Mato Grosso,São José do Xingu,"Fazenda Santa Filipina, a 20-40 km da Faz. Najá, zona de amortecimento do Parque Estadual do Xingu.",IDIGBIO_15,Solanum paniculatum L.,-11.0,-42.0,dcba12d7-0f73-46b1-8edd-21e72c0182e9,PreservedSpecimen,1980-04-19,Brazil,Bahia,,,RRC ID Flag,nan,nan,R. Harley,NEOTROPTREE_15,Agonandra brasiliensis,-20.1538888888889,-54.5611111111111,CerMS034,Brasil,"Jaraguari, cerradão mesotrófico",SIBBR_15,Conocliniopsis prasiifolia,-8.631128,-41.057183,066c5217-6e3b-4769-a1c4-eae3e7409798,,nan,Brazil,,,Rita Pereira,nan,SPECIESLINK_15,Salvia consimilis,0.0,0.0,58044.0,PreservedSpecimen,nan,Brasil,Santa Catarina,nan,Serra do Rio do Rastro.,nan,nan,"Funez, L.A.; Zermiani, A.E."
AT_EPIPHYTES_16,Maxillaria caparaoensis,-20.4333,-41.8683,E11997,nan,Brazil,MATO GROSSO DO SUL,ALTO CAPARAO,Serra do Caparao.,Coordinates given in the herbarium record,BIEN_16,,-21.849722,-46.720278,3527,1994-01-11,DRYFLOR_16,Protium spruceanum (Benth.) Engl.,-21.155300140381,-45.472801208496,Brazil,"Coqueiral, floresta semidecidual",GBIF_16,Mollinedia schottiana Perkins,nan,nan,1095482579,PRESERVED_SPECIMEN,1989-10-19T00:00:00Z,Paraná,"Estrada da Graciosa, próximo a Grota Funda","Peixoto, A.L.",nan,nan,"Hatschbach, G.; Nicolack, V.; Nicolack, V.",ICMBIO_16,Solanum stenandrum Sendtn.,-51.0,-41.3166667,RB00467865,12/02/1977,Brasil,Bahia,,"8 km South of Andarai on road to mucugê by bridge over small river, just North of turning to Itaeté.",IDIGBIO_16,Heteropterys rhopalifolia,nan,nan,0cbc91a0-d67e-4c12-8962-569312ba356f,PreservedSpecimen,,Brasil,Mato Grosso do Sul,,Reserva da área da Prefeitura.,C.Pessoa,nan,nan,"Snak, C.",NEOTROPTREE_16,Iriartea deltoidea,-2.82833333333333,-67.7961111111111,AmzAM285,Brasil,"Tonantins, floresta pluvial de terra firme",SIBBR_16,Araliaceae,nan,nan,b1fecef4-e181-45d7-b38f-bc5cad9e160c,PreservedSpecimen,1971.0,Brazil,,Rio Moa between Cachoeira Grande and Serra da Moa village,D. G. Frodin,nan,SPECIESLINK_16,Eucalyptus tereticornis,0.0,0.0,52773.0,PreservedSpecimen,nan,Brasil,SP,nan,,nan,nan,B.Lopes
AT_EPIPHYTES_17,Acianthera langeana,-28.47165,-49.981568,E2724,2014.0,Brazil,RIO GRANDE DO SUL,SAO JOSE DOS AUSENTES,Rio Pelotas,Forest fragment,BIEN_17,Oldenlandia filicaulis,-14.266667,-42.526111,2756,2006-01-10,DRYFLOR_17,Cestrum schlechtendalii G.Don,-14.148300170898,-47.531898498535,Brazil,"Ipameri, cerrado",GBIF_17,Physalis neesiana Sendtn.,nan,nan,1042546681,PRESERVED_SPECIMEN,,Paraná,Arredore. Clareiras da mata.,"Hatschbach, G.G.",nan,nan,Mike Hopkins,ICMBIO_17,Marcetia latifolia Naudin,-11.6333333,-41.0333333,RB00238744,30/05/1980,Brasil,Piauí,Morro do Chapéu do Piauí,"Rio do Ferro Doido, 19,5 km S.E. of Morro do Chapéu on the BA 052 highway to Mundo Novo, with water-worn.",IDIGBIO_17,Hieracium commersonii Monnier,nan,nan,23cc095f-8d3a-4155-9289-04ae8aae45a6,PreservedSpecimen,10/11/1951,Brasil,Paraná,,Rio do Salto.,Graziela,nan,nan,G.Hatschbach,NEOTROPTREE_17,Cordia trichotoma,-17.0736111111111,-43.7672222222222,CerMG114,Brasil,"Bocaiúva, floresta decídua",SIBBR_17,Chamaecrista flexuosa,nan,nan,c5f2e01a-927b-4848-b389-cbe966306ddc,PreservedSpecimen,nan,Brazil,,,,nan,SPECIESLINK_17,Steinchisma,0.0,0.0,127062.0,S,nan,Brasil,SC,nan,BR 470 2km de acesso a Abdon Batista,nan,nan,"Longhi-Wagner, HM"
AT_EPIPHYTES_18,Pleopeltis monoides,-22.43083,-42.74306,540781,2010.0,Brazil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,,Coordinates given in the herbarium record,BIEN_18,Bauhinia brevipes,-12.871667,-46.97,1928,2009-06-29,DRYFLOR_18,Salvertia convallariodora A.St.-Hil.,-5.3179998397827,-41.51900100708,Brazil,"Castelo do Piaui, cerradao mesotrofico",GBIF_18,Ternstroemia carnosa Cambess.,nan,nan,1090420023,PRESERVED_SPECIMEN,1979-12-22T00:00:00Z,Bahia,"A 3Km ao S de Mucugê, na estrada que vai para Jussiape.",W. São Mateus,nan,nan,S. A. Mori,ICMBIO_18,Clusia nemorosa G.Mey.,-8.28,-34.9541667,RB00574427,24/08/2007,Brasil,Pernambuco,Cabo de Santo Agostinho,"Itapuama, engenho Camaçari.",IDIGBIO_18,Clidemia epiphytica (Triana) Cogn.,-4.696879,-69.5048332,d41300b6-eb71-4a99-bdfe-717c093616b1,PreservedSpecimen,1936-09-11/1936-10-26,Brazil,Amazonas,São Paulo de Olivença,Near Palmares. Basin of Rio Solimoes.,F. A. Michelangeli,201650.0,nan,B. A. Krukoff,NEOTROPTREE_18,Nectandra amazonum,-3.13305555555556,-60.8969444444444,AmzAM220,Brasil,"Lago Manacapuru, floresta inundável de água negra",SIBBR_18,Ficus,nan,nan,369db793-3db2-419a-a1de-a298f20e77b0,,nan,Brazil,,Brasil.,,nan,SPECIESLINK_18,Justicia brasiliana,-26.361184,-49.273742,468.0,MachineObservation,nan,Brasil,Santa Catarina,nan,"Rio Natal - Beira de estrada, sentido Corupá",nan,nan,"Schwirkowski, P."
AT_EPIPHYTES_19,Hymenophyllum fragile,-25.05,-49.8,444521,2003.0,Brazil,PARANA,CASTRO,,Coordinates given in the herbarium record,BIEN_19,Paspalum guttatum,-11.688056,-47.7025,3120,2014-11-20,DRYFLOR_19,Machaerium villosum Vogel,-15.964200019836,-47.94580078125,Brazil,"Fazenda Água Limpa, floresta ripícola",GBIF_19,Serjania laruotteana Cambess.,nan,nan,188385220,PRESERVED_SPECIMEN,2002-03-17T00:00:00Z,Rio Grande do Sul,Sao Francisco de Paula. Estrada,P.Acevedo,nan,nan,R.Wasum,ICMBIO_19,Bertholletia excelsa,-10.855507,-68.700395,458788,31/03/2013,Brasil,AC,,Reserva Extrativista Chico Mendes,IDIGBIO_19,Chaptalia integerrima,nan,nan,3424cbc2-f52c-41d7-8a89-3f34b79603b0,PreservedSpecimen,,Brasil,RS,,Ijuisinho,Emrich-Rambo,nan,nan,"Rambo, B.",NEOTROPTREE_19,Byrsonima blanchetiana,-10.1394444444444,-39.83,CaaBA019,Brasil,"Andorinha, caatinga quartzítica",SIBBR_19,Podostemaceae,nan,nan,2f80860f-db79-4be1-b41c-dde5dea51fac,PreservedSpecimen,1980.0,Brazil,,Cachoeira Porteira,C. T. Philbrick,nan,SPECIESLINK_19,Cranichis scripta,0.0,0.0,nan,PreservedSpecimen,nan,Brazil,Distrito Federal,nan,,nan,nan,L. B. Smith
